Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
cellular senescence	GOTERM_BP_DIRECT	6	2.027027027027027	0.0016508719102349	OPA1, MIF, BRCA2, HRAS, TP63, PML	294	57	19462	6.968134622269959	0.9917409144089832	0.0275429951460461	0.0255315879910472
negative regulation of protein phosphorylation	GOTERM_BP_DIRECT	7	2.364864864864865	0.0017882406913067	LYN, PRNP, TGFB1, PRKDC, ZC3H12A, CIB1, PPIA	294	85	19462	5.451540616246498	0.9944608259703968	0.0296643584392207	0.0274980325731804
positive regulation of defense response to virus by host	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0018245016496909	PYCARD, HSP90AA1, STAT1, ZC3H12A, PML	294	35	19462	9.45675413022352	0.995015219638636	0.0300939107332552	0.0278962155643092
mitochondrion organization	GOTERM_BP_DIRECT	7	2.364864864864865	0.0018985338699252	SHARPIN, OPA1, CDK5, PARP1, HTRA2, DNM1L, LIPA	294	86	19462	5.388150609080842	0.9959808397334734	0.0311381007027846	0.0288641505308968
negative regulation of protein ubiquitination	GOTERM_BP_DIRECT	6	2.027027027027027	0.0019263539058059	DNAJA1, CDK5, RPS3, TNFAIP3, HSPA1B, HSPA1A	294	59	19462	6.731926668972673	0.99629324555969	0.0312413708857797	0.028959879109071
negative regulation of neuron death	GOTERM_BP_DIRECT	6	2.027027027027027	0.0019263539058059	CDK5, PARP2, CHMP4B, HTRA2, TRAF2, EIF4G1	294	59	19462	6.731926668972673	0.99629324555969	0.0312413708857797	0.028959879109071
cellular response to steroid hormone stimulus	GOTERM_BP_DIRECT	4	1.351351351351351	0.00196397786755	URI1, HSPA1B, HSPA1A, NKX3-1	294	17	19462	15.575830332132853	0.9966774869173816	0.0313265260961411	0.0290388156130608
positive regulation of T cell receptor signaling pathway	GOTERM_BP_DIRECT	4	1.351351351351351	0.00196397786755	LCK, RPS3, BCL10, LIPA	294	17	19462	15.575830332132853	0.9966774869173816	0.0313265260961411	0.0290388156130608
cellular protein catabolic process	GOTERM_BP_DIRECT	4	1.351351351351351	0.00196397786755	CHEK2, SIAH2, PPT1, HTRA2	294	17	19462	15.575830332132853	0.9966774869173816	0.0313265260961411	0.0290388156130608
JNK cascade	GOTERM_BP_DIRECT	6	2.027027027027027	0.0020760307622457	DAXX, SMAD3, RIPK2, IL1B, MAPK8IP2, STK3	294	60	19462	6.619727891156462	0.9976016680395688	0.032932881436062	0.0305278621923675
connective tissue replacement involved in inflammatory response wound healing	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0021920983391545	IL1A, TGFB1, HIF1A	294	5	19462	39.71836734693877	0.9982889474548124	0.0343442083822807	0.0318361228924276
negative regulation of fat cell differentiation	GOTERM_BP_DIRECT	6	2.027027027027027	0.0022340183462558	TGFB1, SMAD3, DDIT3, E2F1, TRIB3, SOD2	294	61	19462	6.511207761793242	0.9984854096425804	0.0343442083822807	0.0318361228924276
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0022478124673211	IL1A, CSF2, IL1B, HSPA1B, HSPA1A	294	37	19462	8.945578231292519	0.998544992958257	0.0343442083822807	0.0318361228924276
negative regulation of fibroblast proliferation	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0022478124673211	CD300A, GSTP1, PAWR, BAX, SOD2	294	37	19462	8.945578231292519	0.998544992958257	0.0343442083822807	0.0318361228924276
spleen development	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0022478124673211	POLB, BCL2L11, BCL3, FADD, LIPA	294	37	19462	8.945578231292519	0.998544992958257	0.0343442083822807	0.0318361228924276
positive regulation of neuron death	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0022478124673211	PRNP, DAXX, TYROBP, CASP8, PARP1	294	37	19462	8.945578231292519	0.998544992958257	0.0343442083822807	0.0318361228924276
positive regulation of interleukin-2 production	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0022478124673211	IL1A, RIPK2, IL1B, RPS3, TRAF2	294	37	19462	8.945578231292519	0.998544992958257	0.0343442083822807	0.0318361228924276
positive regulation of cellular protein metabolic process	GOTERM_BP_DIRECT	4	1.351351351351351	0.0023306986575282	NFKBIA, TGFB1, INHBA, EIF4G1	294	18	19462	14.710506424792138	0.9988567900758816	0.0352396781396068	0.0326661983719194
intrinsic apoptotic signaling pathway in response to oxidative stress	GOTERM_BP_DIRECT	4	1.351351351351351	0.0023306986575282	MELK, GPX1, SOD2, PML	294	18	19462	14.710506424792138	0.9988567900758816	0.0352396781396068	0.0326661983719194
T cell homeostasis	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0024828841362823	TGFB1, BCL2L11, CASP3, PMAIP1, FADD	294	38	19462	8.710168277837452	0.9992658341259752	0.0371536734413803	0.0344404186120408
response to axon injury	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0024828841362823	LYN, TYROBP, BAX, TREM2, SOD2	294	38	19462	8.710168277837452	0.9992658341259752	0.0371536734413803	0.0344404186120408
negative regulation of sequence-specific DNA binding transcription factor activity	GOTERM_BP_DIRECT	7	2.364864864864865	0.002672052224559	RB1, PRNP, TFDP1, KDM1A, DDIT3, E2F1, KEAP1	294	92	19462	5.036749482401656	0.999576666222292	0.0397793210661284	0.0368743206989154
positive regulation of stress-activated MAPK cascade	GOTERM_BP_DIRECT	4	1.351351351351351	0.002737106354532	TGFB2, PDCD10, EIF2AK2, MAPK8IP2	294	19	19462	13.936269244539922	0.999649697645917	0.0403341103919112	0.0373885949240899
mitochondrial fusion	GOTERM_BP_DIRECT	4	1.351351351351351	0.002737106354532	OPA1, BCL2A1, BAX, BAK1	294	19	19462	13.936269244539922	0.999649697645917	0.0403341103919112	0.0373885949240899
I-kappaB kinase/NF-kappaB signaling	GOTERM_BP_DIRECT	6	2.027027027027027	0.0027605114739999	NFKBIA, TBK1, RIPK2, IL1B, BCL3, BCL10	294	64	19462	6.205994897959183	0.9996727696668174	0.0404735596415242	0.0375178604875445
protein maturation	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0030026300754473	SNAPIN, CASP8, CASP3, CASP1, GZMB	294	40	19462	8.27465986394558	0.9998382967640144	0.0435870465223039	0.0404039759529865
neuron projection development	GOTERM_BP_DIRECT	8	2.702702702702702	0.0030028967635069	LYN, RB1, SNAPIN, CDK5, BLOC1S2, NEDD4, HMGB1, CDK5R1	294	126	19462	4.203001835654897	0.9998384222822292	0.0435870465223039	0.0404039759529865
negative regulation of epithelial cell proliferation	GOTERM_BP_DIRECT	6	2.027027027027027	0.0031579566875326	RB1, TGFB2, TGFB1, STK4, STK3, NKX3-1	294	66	19462	6.017934446505874	0.9998971309946104	0.0450963610227503	0.0418030683817503
platelet formation	GOTERM_BP_DIRECT	4	1.351351351351351	0.00318455184625	CASP3, MYH9, CIB1, ZNF385A	294	20	19462	13.239455782312923	0.9999047976122633	0.0450963610227503	0.0418030683817503
positive regulation of proteolysis	GOTERM_BP_DIRECT	4	1.351351351351351	0.00318455184625	CASP8, PERP, BAK1, FADD	294	20	19462	13.239455782312923	0.9999047976122633	0.0450963610227503	0.0418030683817503
apoptotic cell clearance	GOTERM_BP_DIRECT	4	1.351351351351351	0.00318455184625	TYROBP, TREM2, ITGAV, HMGB1	294	20	19462	13.239455782312923	0.9999047976122633	0.0450963610227503	0.0418030683817503
positive regulation of superoxide anion generation	GOTERM_BP_DIRECT	4	1.351351351351351	0.00318455184625	TGFB1, TYROBP, SYK, GSTP1	294	20	19462	13.239455782312923	0.9999047976122633	0.0450963610227503	0.0418030683817503
negative regulation of fat cell proliferation	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0032554876932233	TFDP1, E2F1, TREM2	294	6	19462	33.09863945578231	0.9999225670013724	0.0452185682939104	0.0419163511122676
positive regulation of apoptotic DNA fragmentation	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0032554876932233	CASP3, BAX, ST20	294	6	19462	33.09863945578231	0.9999225670013724	0.0452185682939104	0.0419163511122676
positive regulation of immature T cell proliferation in thymus	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0032554876932233	IL1A, RIPK2, IL1B	294	6	19462	33.09863945578231	0.9999225670013724	0.0452185682939104	0.0419163511122676
negative regulation of PERK-mediated unfolded protein response	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0032554876932233	PPP1R15A, PTPN1, NCK1	294	6	19462	33.09863945578231	0.9999225670013724	0.0452185682939104	0.0419163511122676
collagen catabolic process	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0032883921532192	MMP1, CTSL, CTSK, MMP9, CTSB	294	41	19462	8.072838891654223	0.99992964331428	0.0454581067656922	0.0421383965919661
negative regulation of neuron apoptotic process	GOTERM_BP_DIRECT	9	3.040540540540541	0.0033441159412926	CEBPB, MSH2, PPT1, BAX, HTRA2, SOD2, GCLM, HRAS, HIF1A	294	163	19462	3.6550644797796417	0.9999401839861816	0.046009329751529	0.0426493649195193
cell migration	GOTERM_BP_DIRECT	12	4.054054054054054	0.0034081470849333	TGFB2, GSK3A, TGFB1, TNFAIP3, PIK3CD, ITGAV, PLCG1, MET, MMP9, CD44, EPHA2, NCK1	294	278	19462	2.857436499779768	0.9999503617693888	0.0466691084318935	0.0432609613469602
negative regulation of insulin receptor signaling pathway	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0035921263137151	PTPN1, GSK3A, IL1B, PTPN2, NCK1	294	42	19462	7.880628441852933	0.9999709565305998	0.048768505127458	0.0452070435060246
negative regulation of protein kinase B signaling	GOTERM_BP_DIRECT	6	2.027027027027027	0.0035950603159752	PDCD6, DDIT3, TREM2, CIB1, EPHA2, PHLDA3	294	68	19462	5.84093637454982	0.9999712037397732	0.048768505127458	0.0452070435060246
regulation of TOR signaling	GOTERM_BP_DIRECT	4	1.351351351351351	0.0036742977606474	RRAGC, GNA12, TREM2, ZMPSTE24	294	21	19462	12.60900550696469	0.9999771401956034	0.0496115646472542	0.0459885361576855
positive regulation of protein import into nucleus	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0039143569052874	HSP90AA1, TGFB1, SMAD3, ZC3H12A, PTGS2	294	43	19462	7.697358012972632	0.9999886430022596	0.0526082319261546	0.0487663631117059
response to estradiol	GOTERM_BP_DIRECT	7	2.364864864864865	0.0042463888192309	TGFB1, CASP8, GPX1, GPX4, CASP3, STAT3, PTGS2	294	101	19462	4.587930221593588	0.9999956854358956	0.0568076808397578	0.0526591350808778
negative regulation of toll-like receptor 2 signaling pathway	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0045124690030635	LYN, TNFAIP3, TREM2	294	7	19462	28.370262390670558	0.9999980139100892	0.0592746493931832	0.0549459460961267
salivary gland morphogenesis	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0045124690030635	POLB, TGFB2, TGFB1	294	7	19462	28.370262390670558	0.9999980139100892	0.0592746493931832	0.0549459460961267
activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0045124690030635	BAX, CYCS, BAK1	294	7	19462	28.370262390670558	0.9999980139100892	0.0592746493931832	0.0549459460961267
negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0045124690030635	PLAUR, MMP9, NLE1	294	7	19462	28.370262390670558	0.9999980139100892	0.0592746493931832	0.0549459460961267
peptidyl-threonine phosphorylation	GOTERM_BP_DIRECT	6	2.027027027027027	0.0045967802056385	GSK3A, TBK1, DYRK2, CDK5, PRKDC, CDK5R1	294	72	19462	5.516439909297052	0.9999984468384768	0.059827212566424	0.0554581567400093
positive regulation of kinase activity	GOTERM_BP_DIRECT	6	2.027027027027027	0.0045967802056385	TREM2, BCL10, NBN, MET, CD44, EPHA2	294	72	19462	5.516439909297052	0.9999984468384768	0.059827212566424	0.0554581567400093
osteoclast differentiation	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0046163608731928	TGFB1, TYROBP, TFRC, TREM2, EPHA2	294	45	19462	7.35525321239607	0.9999985330479594	0.059827212566424	0.0554581567400093
multicellular organism aging	GOTERM_BP_DIRECT	4	1.351351351351351	0.0047853174286718	GNA13, GNA12, CISD2, TP63	294	23	19462	11.5125702454895	0.999999103816992	0.0617412288685972	0.0572323964469152
negative regulation of MAP kinase activity	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0049971377673049	LYN, PTPN1, CD300A, IL1B, GSTP1	294	46	19462	7.195356403430938	0.9999995169077028	0.0639061274823189	0.0592391970564658
negative regulation of interleukin-1 beta production	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0049971377673049	GSTP1, ZC3H12A, TNFAIP3, TREM2, PML	294	46	19462	7.195356403430938	0.9999995169077028	0.0639061274823189	0.0592391970564658
protein import into nucleus	GOTERM_BP_DIRECT	7	2.364864864864865	0.0053721197007642	NFKBIA, SYK, STAT3, BCL3, STK4, PML, STK3	294	106	19462	4.37151841868823	0.9999998382645618	0.0673882350276986	0.0624670135926754
positive regulation of nitric oxide biosynthetic process	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0053984173450499	HSP90AA1, SMAD3, IL1B, SOD2, PTGS2	294	47	19462	7.042263713996237	0.9999998502141672	0.0673882350276986	0.0624670135926754
positive regulation of receptor-mediated endocytosis	GOTERM_BP_DIRECT	4	1.351351351351351	0.0054087009167942	HIP1, HNRNPK, SERPINE1, PPT1	294	24	19462	11.032879818594104	0.9999998546432458	0.0673882350276986	0.0624670135926754
positive regulation of protein metabolic process	GOTERM_BP_DIRECT	4	1.351351351351351	0.0054087009167942	NFKBIA, TGFB1, INHBA, EIF4G1	294	24	19462	11.032879818594104	0.9999998546432458	0.0673882350276986	0.0624670135926754
regulation of mitotic spindle assembly	GOTERM_BP_DIRECT	4	1.351351351351351	0.0054087009167942	CHMP4B, HSPA1B, CHMP5, HSPA1A	294	24	19462	11.032879818594104	0.9999998546432458	0.0673882350276986	0.0624670135926754
negative regulation of reactive oxygen species metabolic process	GOTERM_BP_DIRECT	4	1.351351351351351	0.0054087009167942	G6PD, BRCA1, AATF, HIF1A	294	24	19462	11.032879818594104	0.9999998546432458	0.0673882350276986	0.0624670135926754
negative regulation of protein binding	GOTERM_BP_DIRECT	6	2.027027027027027	0.0054679743841064	RALB, KDM1A, CTSZ, TMC8, BAX, PPP1CA	294	75	19462	5.295782312925169	0.999999877736406	0.0676787207345248	0.0627362857377217
response to hypoxia	GOTERM_BP_DIRECT	9	3.040540540540541	0.0054786425672109	IL1A, TGFB2, TGFB1, SMAD3, TFRC, CASP3, SOD2, HIF1A, PML	294	177	19462	3.3659633344863367	0.999999881485046	0.0676787207345248	0.0627362857377217
T cell receptor signaling pathway	GOTERM_BP_DIRECT	8	2.702702702702702	0.0057768003046078	LCK, RIPK2, ZC3H12A, PIK3CD, BCL10, PLCG1, RBCK1, HRAS	294	142	19462	3.7294241640318098	0.9999999503703432	0.0710595393401554	0.0658702102529653
negative regulation of interferon-gamma production	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0058206764236388	PRNP, DDIT3, ZC3H12A, INHBA, HMGB1	294	48	19462	6.895549886621316	0.9999999563382124	0.0712971462355423	0.0660904652152409
positive regulation of ER-associated ubiquitin-dependent protein catabolic process	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0059570122114273	BCAP31, UBQLN1, UBQLN2	294	8	19462	24.82397959183673	0.9999999706777682	0.0726605313015699	0.0673542851300464
cell aging	GOTERM_BP_DIRECT	4	1.351351351351351	0.0060786097383144	MIF, BRCA2, HRAS, TP63	294	25	19462	10.59156462585034	0.9999999794428002	0.0735258502930289	0.0681564116908511
protein tetramerization	GOTERM_BP_DIRECT	4	1.351351351351351	0.0060786097383144	STK4, TP63, STK3, TP73	294	25	19462	10.59156462585034	0.9999999794428002	0.0735258502930289	0.0681564116908511
positive regulation of cell division	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0062643812352106	IL1A, TGFB2, TGFB1, IL1B, NKX3-1	294	49	19462	6.754824378731085	0.9999999880519552	0.0748374433161174	0.0693722218269625
glutathione metabolic process	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0062643812352106	G6PD, GPX1, GPX4, GSTP1, SOD2	294	49	19462	6.754824378731085	0.9999999880519552	0.0748374433161174	0.0693722218269625
positive regulation of blood vessel endothelial cell migration	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0062643812352106	TGFB1, HSPB1, PLCG1, HMGB1, HIF1A	294	49	19462	6.754824378731085	0.9999999880519552	0.0748374433161174	0.0693722218269625
protein autophosphorylation	GOTERM_BP_DIRECT	9	3.040540540540541	0.006465266452176	LYN, MELK, SYK, CDK5, CHEK2, EIF2AK2, PIM2, STK4, PAK2	294	182	19462	3.273491814308141	0.9999999933563446	0.0769207725847015	0.0713034099295321
ephrin receptor signaling pathway	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0067299871266404	LYN, MMP9, EPHA2, NCK1, CDK5R1	294	50	19462	6.619727891156463	0.999999996934918	0.0796310103554667	0.073815724721516
toll-like receptor 4 signaling pathway	GOTERM_BP_DIRECT	4	1.351351351351351	0.0067959073288166	LYN, NFKBIA, RIPK2, CD14	294	26	19462	10.184196755625326	0.9999999974720594	0.0796310103554667	0.073815724721516
positive regulation of interferon-alpha production	GOTERM_BP_DIRECT	4	1.351351351351351	0.0067959073288166	TBK1, STAT1, RIPK2, TRIM65	294	26	19462	10.184196755625326	0.9999999974720594	0.0796310103554667	0.073815724721516
tumor necrosis factor-mediated signaling pathway	GOTERM_BP_DIRECT	6	2.027027027027027	0.0068027869680178	PYCARD, NFKBIA, STAT1, FAS, TRAF2, TNFRSF25	294	79	19462	5.027641436321364	0.9999999975223844	0.0796310103554667	0.073815724721516
rhythmic process	GOTERM_BP_DIRECT	6	2.027027027027027	0.0071691193251378	CDK5, PRKDC, NONO, SIAH2, DNM1L, CDK5R1	294	80	19462	4.964795918367346	0.9999999991509588	0.083582142172189	0.0774783136704653
negative regulation of inflammatory response	GOTERM_BP_DIRECT	8	2.702702702702702	0.0074613953127786	RB1, SHARPIN, SMAD3, STAT3, TNFAIP3, SLC39A8, TRIM65, PTPN2	294	149	19462	3.5542163173994425	0.9999999996388196	0.0853259647738779	0.0790947885657959
response to lipopolysaccharide	GOTERM_BP_DIRECT	8	2.702702702702702	0.0074613953127786	CEBPB, CASP8, IL1B, CASP3, HMGB2, SOD2, PTGS2, S100A9	294	149	19462	3.5542163173994425	0.9999999996388196	0.0853259647738779	0.0790947885657959
regulation of multicellular organism growth	GOTERM_BP_DIRECT	4	1.351351351351351	0.0075613852036856	SGPL1, STAT3, HTRA2, ZMPSTE24	294	27	19462	9.80700428319476	0.999999999730408	0.0853259647738779	0.0790947885657959
positive regulation of epidermal growth factor receptor signaling pathway	GOTERM_BP_DIRECT	4	1.351351351351351	0.0075613852036856	HIP1, RALB, PLAUR, MMP9	294	27	19462	9.80700428319476	0.999999999730408	0.0853259647738779	0.0790947885657959
bone resorption	GOTERM_BP_DIRECT	4	1.351351351351351	0.0075613852036856	CTSK, RAC2, TPP1, RAB7A	294	27	19462	9.80700428319476	0.999999999730408	0.0853259647738779	0.0790947885657959
negative regulation of lipid storage	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0075832238758734	NFKBIA, ITGAV, PTPN2	294	9	19462	22.065759637188208	0.9999999997470912	0.0853259647738779	0.0790947885657959
viral budding	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0075832238758734	NEDD4, CHMP4B, CHMP5	294	9	19462	22.065759637188208	0.9999999997470912	0.0853259647738779	0.0790947885657959
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0075832238758734	GSK3A, SIVA1, BAK1	294	9	19462	22.065759637188208	0.9999999997470912	0.0853259647738779	0.0790947885657959
negative regulation of protein dephosphorylation	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0075832238758734	YWHAE, PPP1R15A, YWHAB	294	9	19462	22.065759637188208	0.9999999997470912	0.0853259647738779	0.0790947885657959
spermatogenesis	GOTERM_BP_DIRECT	16	5.405405405405405	0.0076595111699171	RB1, BCAP31, GPX4, SIAH1, SPATA2, BRCA2, YBX3, DNAJA1, MSH6, IL1A, SGPL1, BCL2L11, E2F1, VDAC3, DEDD, TP63	294	490	19462	2.161543801193947	0.9999999997976768	0.0858515865879133	0.0795820253214174
regulation of gene expression	GOTERM_BP_DIRECT	11	3.716216216216216	0.0082684296723628	DAXX, HNRNPK, PCBP1, ZC3H12A, TRIM14, TREM2, DNM1L, TRIM21, HIF1A, YBX3, TP73	294	271	19462	2.686974420764616	0.9999999999659448	0.0910668429298226	0.0844164224333974
positive regulation of proteasomal ubiquitin-dependent protein catabolic process	GOTERM_BP_DIRECT	6	2.027027027027027	0.0083503988372281	PSMD10, GSK3A, KEAP1, TRIB3, HSPA1B, HSPA1A	294	83	19462	4.785345463486599	0.99999999997321	0.0910668429298226	0.0844164224333974
neutrophil chemotaxis	GOTERM_BP_DIRECT	6	2.027027027027027	0.0083503988372281	TGFB2, SYK, IL1B, PIK3CD, PPIA, S100A9	294	83	19462	4.785345463486599	0.99999999997321	0.0910668429298226	0.0844164224333974
cellular response to interleukin-1	GOTERM_BP_DIRECT	6	2.027027027027027	0.0083503988372281	PYCARD, CEBPB, USP10, ZC3H12A, HIF1A, NKX3-1	294	83	19462	4.785345463486599	0.99999999997321	0.0910668429298226	0.0844164224333974
positive regulation of histone acetylation	GOTERM_BP_DIRECT	4	1.351351351351351	0.0083757654365355	TGFB1, MYBBP1A, IL1B, BRCA1	294	28	19462	9.456754130223516	0.9999999999751272	0.0910668429298226	0.0844164224333974
negative regulation of cellular senescence	GOTERM_BP_DIRECT	4	1.351351351351351	0.0083757654365355	BCL2L12, PLK2, MIF, TP63	294	28	19462	9.456754130223516	0.9999999999751272	0.0910668429298226	0.0844164224333974
protein localization to membrane	GOTERM_BP_DIRECT	4	1.351351351351351	0.0083757654365355	RRAGC, HGS, NMT1, LAMTOR1	294	28	19462	9.456754130223516	0.9999999999751272	0.0910668429298226	0.0844164224333974
interferon-gamma-mediated signaling pathway	GOTERM_BP_DIRECT	4	1.351351351351351	0.0083757654365355	IFNGR1, STAT1, IFNGR2, IRF1	294	28	19462	9.456754130223516	0.9999999999751272	0.0910668429298226	0.0844164224333974
release of sequestered calcium ion into cytosol	GOTERM_BP_DIRECT	5	1.6891891891891893	0.008820132814093	LCK, DDIT3, BAX, PLCG1, BBC3	294	54	19462	6.129377676996725	0.9999999999932294	0.095540468504896	0.0885633485176284
protein autoprocessing	GOTERM_BP_DIRECT	4	1.351351351351351	0.0092397030733457	PARP1, CTSL, CASP1, HTRA2	294	29	19462	9.13065916021581	0.9999999999980193	0.0980059529460379	0.0908487838022005
kidney development	GOTERM_BP_DIRECT	7	2.364864864864865	0.0093045841385914	TGFB2, SGPL1, BCL2L11, BAX, FADD, NLE1, TP73	294	119	19462	3.893957583033213	0.9999999999983622	0.0980059529460379	0.0908487838022005
Notch signaling pathway	GOTERM_BP_DIRECT	7	2.364864864864865	0.0093045841385914	NFKBIA, TRAF7, TGFB1, PERP, BLOC1S2, TP63, NLE1	294	119	19462	3.893957583033213	0.9999999999983622	0.0980059529460379	0.0908487838022005
JAK-STAT cascade involved in growth hormone signaling pathway	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0093853444433339	LYN, PTPN1, STAT3	294	10	19462	19.859183673469385	0.9999999999987074	0.0980059529460379	0.0908487838022005
response to UV-C	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0093853444433339	BCL3, BAK1, BRCA2	294	10	19462	19.859183673469385	0.9999999999987074	0.0980059529460379	0.0908487838022005
response to manganese ion	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0093853444433339	TFRC, SOD2, PTGS2	294	10	19462	19.859183673469385	0.9999999999987074	0.0980059529460379	0.0908487838022005
B cell apoptotic process	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0093853444433339	BAX, BAK1, BCL10	294	10	19462	19.859183673469385	0.9999999999987074	0.0980059529460379	0.0908487838022005
positive regulation of peptidase activity	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0093853444433339	CTSL, CTSK, CTSV	294	10	19462	19.859183673469385	0.9999999999987074	0.0980059529460379	0.0908487838022005
myeloid cell homeostasis	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0093853444433339	BCL2L11, BAX, BAK1	294	10	19462	19.859183673469385	0.9999999999987074	0.0980059529460379	0.0908487838022005
positive regulation of fibroblast apoptotic process	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0093853444433339	BCL2L11, BID, TP63	294	10	19462	19.859183673469385	0.9999999999987074	0.0980059529460379	0.0908487838022005
lysosome organization	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0100076090355744	SNAPIN, TPP1, LAMTOR1, LIPA, CHMP5	294	56	19462	5.9104713313897	0.9999999999997914	0.1037574608224018	0.0961802711240383
positive regulation of fibroblast proliferation	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0100076090355744	TGFB1, E2F1, MIF, HRAS, PML	294	56	19462	5.9104713313897	0.9999999999997914	0.1037574608224018	0.0961802711240383
cellular response to gamma radiation	GOTERM_BP_DIRECT	4	1.351351351351351	0.0101537884827175	KDM1A, CHEK2, HRAS, ZMPSTE24	294	30	19462	8.826303854875283	0.999999999999864	0.1048983913356901	0.0972378818754192
positive regulation of fat cell differentiation	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0106383061771402	CEBPB, ZC3H12A, STK4, ZNF385A, STK3	294	57	19462	5.806778851891634	0.9999999999999672	0.1095141944405603	0.1015166025627103
vesicle-mediated transport	GOTERM_BP_DIRECT	10	3.3783783783783785	0.0108002439116283	AP3M2, AP4M1, ARF1, VAMP7, AP1S1, CLTA, KXD1, HSPA1B, HSPA1A, AP1M1	294	240	19462	2.7582199546485264	0.9999999999999796	0.1107883677577986	0.1026977256755894
positive regulation of activated T cell proliferation	GOTERM_BP_DIRECT	4	1.351351351351351	0.0111185496404128	PYCARD, RPS3, FADD, HMGB1	294	31	19462	8.541584375685758	0.999999999999992	0.1129162171808601	0.1046701827191507
immune response	GOTERM_BP_DIRECT	16	5.405405405405405	0.0111375120623576	CEBPB, SMAD3, CSF2, PIK3CD, CTSV, PYCARD, IL1A, CTSL, IL1B, CTSK, TNFSF10, FAS, ACKR3, LTBR, IKBKE, CTSC	294	512	19462	2.0686649659863945	0.9999999999999925	0.1129162171808601	0.1046701827191507
response to unfolded protein	GOTERM_BP_DIRECT	5	1.6891891891891893	0.0112941271980828	DNAJA1, HSP90AA1, DDIT3, HSPB1, HSPA1A	294	58	19462	5.706661975134882	0.9999999999999952	0.1129162171808601	0.1046701827191507
positive regulation of extrinsic apoptotic signaling pathway in absence of ligand	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0113577455793355	HTRA2, INHBA, PPP1CA	294	11	19462	18.05380333951762	0.999999999999996	0.1129162171808601	0.1046701827191507
negative regulation of production of miRNAs involved in gene silencing by miRNA	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0113577455793355	TGFB1, ZC3H12A, ZMPSTE24	294	11	19462	18.05380333951762	0.999999999999996	0.1129162171808601	0.1046701827191507
dendritic spine maintenance	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0113577455793355	PRNP, CTTN, TREM2	294	11	19462	18.05380333951762	0.999999999999996	0.1129162171808601	0.1046701827191507
cellular response to lipoteichoic acid	GOTERM_BP_DIRECT	3	1.0135135135135136	0.0113577455793355	RIPK2, TREM2, CD14	294	11	19462	18.05380333951762	0.999999999999996	0.1129162171808601	0.1046701827191507
